patient_id	cell_id	bam_path	cell_type
patient05_ctc_compare	CTC1	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617561.sorted.bam	ctc
patient05_ctc_compare	CTC2	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617560.sorted.bam	ctc
patient05_ctc_compare	CTC3	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617569.sorted.bam	ctc
patient05_ctc_compare	CTC4	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617568.sorted.bam	ctc
patient05_ctc_compare	CTC5	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617583.sorted.bam	ctc
patient05_ctc_compare	CTC6	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617584.sorted.bam	ctc
patient05_ctc_compare	CTC7	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617585.sorted.bam	ctc
patient05_ctc_compare	CTC8	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617586.sorted.bam	ctc
patient05_ctc_compare	CTC9	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617587.sorted.bam	ctc
patient05_ctc_compare	CTC10	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617588.sorted.bam	ctc
patient05_ctc_compare	CTC11	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617589.sorted.bam	ctc
patient05_ctc_compare	CTC12	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617590.sorted.bam	ctc
patient05_ctc_compare	leuko	/tzu-share-2/data/public/PRJNA448888/processed/sarek/alignments/SRR8617562.sorted.bam	leukocyte
